episode,episode_steps,episode_reward,max_tile,total_step
1,798,1520.0,128,798
2,812,896.0,64,1610
3,1147,1168.0,128,2757
4,217,504.0,64,2974
5,404,400.0,32,3378
6,641,1404.0,128,4019
7,1169,1712.0,128,5188
8,390,636.0,64,5578
9,273,740.0,64,5851
10,389,1168.0,128,6240
11,652,2104.0,128,6892
12,137,336.0,32,7029
13,294,1248.0,128,7323
14,240,1544.0,128,7563
15,343,1244.0,128,7906
16,288,1344.0,128,8194
17,145,1172.0,128,8339
18,340,1744.0,128,8679
19,138,632.0,64,8817
20,174,796.0,64,8991
21,128,872.0,128,9119
22,403,2192.0,128,9522
23,248,1256.0,128,9770
24,247,1660.0,128,10017
25,244,1524.0,128,10261
26,288,2376.0,256,10549
27,135,1108.0,128,10684
28,221,788.0,64,10905
29,334,1724.0,128,11239
30,309,1264.0,128,11548
31,469,2372.0,256,12017
32,436,2780.0,256,12453
33,317,2304.0,256,12770
34,179,1712.0,128,12949
35,261,1620.0,128,13210
36,384,3036.0,256,13594
37,140,1312.0,128,13734
38,516,2904.0,256,14250
39,180,1456.0,128,14430
40,329,2032.0,128,14759
41,279,1696.0,128,15038
42,183,1328.0,128,15221
43,284,1820.0,128,15505
44,122,832.0,64,15627
45,374,1412.0,128,16001
46,543,5128.0,512,16544
47,178,1432.0,128,16722
48,420,2436.0,256,17142
49,552,2844.0,256,17694
50,182,1496.0,128,17876
51,535,3536.0,256,18411
52,154,1300.0,128,18565
53,268,2460.0,256,18833
54,367,3432.0,256,19200
55,310,3084.0,256,19510
56,223,1544.0,128,19733
57,243,524.0,32,19976
58,190,1372.0,128,20166
59,372,2624.0,256,20538
60,461,4688.0,512,20999
61,450,3180.0,256,21449
62,214,1756.0,128,21663
63,404,2892.0,256,22067
64,199,2396.0,256,22266
65,344,3044.0,256,22610
66,286,2976.0,256,22896
67,331,3060.0,256,23227
68,532,3328.0,256,23759
69,361,2784.0,256,24120
70,254,3072.0,256,24374
71,223,1336.0,128,24597
72,468,1660.0,128,25065
73,356,2872.0,256,25421
74,376,3292.0,256,25797
75,313,1848.0,128,26110
76,284,2672.0,256,26394
77,162,1484.0,128,26556
78,305,3320.0,256,26861
79,107,828.0,64,26968
80,467,4692.0,512,27435
81,465,5496.0,512,27900
82,210,1112.0,128,28110
83,154,1428.0,128,28264
84,203,2024.0,256,28467
85,155,1340.0,128,28622
86,274,2320.0,256,28896
87,411,3252.0,256,29307
88,314,2520.0,256,29621
89,344,3204.0,256,29965
90,808,9920.0,1024,30773
91,266,3036.0,256,31039
92,451,4468.0,512,31490
93,428,5096.0,512,31918
94,214,1644.0,128,32132
95,298,3068.0,256,32430
96,520,6348.0,512,32950
97,204,2308.0,256,33154
98,224,1392.0,128,33378
99,640,5316.0,512,34018
100,137,528.0,64,34155
101,261,2728.0,256,34416
102,300,2740.0,256,34716
103,782,6016.0,512,35498
104,204,2396.0,256,35702
105,748,6644.0,512,36450
106,348,3056.0,256,36798
107,453,5900.0,512,37251
108,289,2464.0,256,37540
109,333,2848.0,256,37873
110,352,3984.0,256,38225
111,208,1376.0,128,38433
112,439,3172.0,256,38872
113,469,3176.0,256,39341
114,345,3052.0,256,39686
115,433,1460.0,128,40119
116,224,1584.0,128,40343
117,200,1616.0,128,40543
118,231,2788.0,256,40774
119,292,3072.0,256,41066
120,259,2212.0,256,41325
121,215,1716.0,128,41540
122,271,1356.0,128,41811
123,446,5552.0,512,42257
124,298,2676.0,256,42555
125,324,3332.0,256,42879
126,234,1672.0,128,43113
127,238,1688.0,128,43351
128,369,2712.0,256,43720
129,200,2044.0,128,43920
130,214,1572.0,128,44134
131,217,1252.0,128,44351
132,359,3064.0,256,44710
133,186,1384.0,128,44896
134,826,7368.0,512,45722
135,418,1820.0,128,46140
136,200,1372.0,128,46340
137,310,3024.0,256,46650
138,212,1476.0,128,46862
139,422,3200.0,256,47284
140,312,2884.0,256,47596
141,283,2232.0,256,47879
142,322,3224.0,256,48201
143,328,2276.0,256,48529
144,185,1660.0,128,48714
145,280,3200.0,256,48994
146,580,5308.0,512,49574
147,316,2772.0,256,49890
148,316,3192.0,256,50206
149,265,3084.0,256,50471
150,257,2760.0,256,50728
151,183,2244.0,256,50911
152,226,2552.0,256,51137
153,251,2964.0,256,51388
154,303,3192.0,256,51691
155,336,2440.0,256,52027
156,168,1112.0,128,52195
157,331,2840.0,256,52526
158,430,2572.0,256,52956
159,241,1308.0,128,53197
160,255,2968.0,256,53452
161,461,3340.0,256,53913
162,273,3020.0,256,54186
163,359,3016.0,256,54545
164,505,4360.0,256,55050
165,226,1416.0,128,55276
166,391,3164.0,256,55667
167,256,2268.0,256,55923
168,388,3464.0,256,56311
169,472,2284.0,256,56783
170,316,3192.0,256,57099
171,345,3400.0,256,57444
172,229,1496.0,128,57673
173,379,3172.0,256,58052
174,132,1144.0,128,58184
175,270,2872.0,256,58454
176,85,644.0,64,58539
177,337,4668.0,512,58876
178,285,1800.0,128,59161
179,238,2336.0,256,59399
180,308,3112.0,256,59707
181,362,3064.0,256,60069
182,357,2400.0,256,60426
183,310,3204.0,256,60736
184,167,1276.0,128,60903
185,241,2360.0,256,61144
186,273,1280.0,128,61417
187,282,2040.0,128,61699
188,238,2760.0,256,61937
189,380,4500.0,512,62317
190,456,5284.0,512,62773
191,245,2796.0,256,63018
192,173,1400.0,128,63191
193,205,1444.0,128,63396
194,169,1648.0,128,63565
195,196,1084.0,128,63761
196,222,2420.0,256,63983
197,459,3088.0,256,64442
198,486,5480.0,512,64928
199,599,3300.0,256,65527
200,141,1020.0,64,65668
201,278,2744.0,256,65946
202,268,2820.0,256,66214
203,255,2424.0,256,66469
204,203,1352.0,128,66672
205,155,1460.0,128,66827
206,359,2280.0,256,67186
207,219,1360.0,128,67405
208,217,2264.0,256,67622
209,377,3164.0,256,67999
210,369,3168.0,256,68368
211,308,2332.0,256,68676
212,327,3032.0,256,69003
213,422,4048.0,256,69425
214,301,1632.0,128,69726
215,266,3108.0,256,69992
216,443,3288.0,256,70435
217,121,712.0,64,70556
218,267,3072.0,256,70823
219,207,1688.0,128,71030
220,258,2100.0,128,71288
221,340,3092.0,256,71628
222,202,2396.0,256,71830
223,258,2024.0,128,72088
224,393,3176.0,256,72481
225,320,3200.0,256,72801
226,346,3228.0,256,73147
227,391,3344.0,256,73538
228,301,3076.0,256,73839
229,350,4544.0,512,74189
230,361,2768.0,256,74550
231,254,1752.0,128,74804
232,595,5444.0,512,75399
233,392,3084.0,256,75791
234,332,3032.0,256,76123
235,234,2336.0,256,76357
236,392,3012.0,256,76749
237,285,1828.0,128,77034
238,270,3080.0,256,77304
239,263,2276.0,128,77567
240,175,1696.0,128,77742
241,194,2292.0,256,77936
242,249,2428.0,256,78185
243,330,3344.0,256,78515
244,312,2368.0,256,78827
245,458,5332.0,512,79285
246,299,2712.0,256,79584
247,393,5220.0,512,79977
248,263,2420.0,256,80240
249,379,2728.0,256,80619
250,541,5252.0,512,81160
251,383,2408.0,256,81543
252,405,3152.0,256,81948
253,280,2844.0,256,82228
254,444,3068.0,256,82672
255,221,1404.0,128,82893
256,439,3148.0,256,83332
257,544,5772.0,512,83876
258,259,2072.0,128,84135
259,515,5372.0,512,84650
260,159,1072.0,128,84809
261,384,2616.0,256,85193
262,231,2460.0,256,85424
263,691,6280.0,512,86115
264,412,3404.0,256,86527
265,722,6152.0,512,87249
266,532,6132.0,512,87781
267,334,3072.0,256,88115
268,443,5424.0,512,88558
269,333,3016.0,256,88891
270,355,3052.0,256,89246
271,286,3400.0,256,89532
272,259,2988.0,256,89791
273,330,3368.0,256,90121
274,83,524.0,64,90204
275,131,1172.0,128,90335
276,566,6292.0,512,90901
277,272,2588.0,256,91173
278,502,5324.0,512,91675
279,409,3236.0,256,92084
280,274,2540.0,256,92358
281,585,5420.0,512,92943
282,311,3036.0,256,93254
283,360,3124.0,256,93614
284,174,976.0,64,93788
285,257,1624.0,128,94045
286,321,3080.0,256,94366
287,395,3056.0,256,94761
288,481,3232.0,256,95242
